mes,inadimplencia_total,inadimplencia_pf,inadimplencia_pj,endividamento_familias,comprometimento_renda,spread_total,selic_meta,ipca
2010-01-01,,,,29.82,22.3,,8.75,0.75
2010-02-01,,,,29.95,22.27,,8.75,0.78
2010-03-01,,,,30.35,22.34,,8.75,0.52
2010-04-01,,,,30.7,22.48,,8.8,0.57
2010-05-01,,,,31.19,22.72,,9.5,0.43
2010-06-01,,,,31.41,23.04,,10.025,0.0
2010-07-01,,,,32.03,23.09,,10.411290322580646,0.01
2010-08-01,,,,32.34,23.13,,10.75,0.04
2010-09-01,,,,32.65,23.23,,10.75,0.45
2010-10-01,,,,32.94,23.18,,10.75,0.75
2010-11-01,,,,33.46,23.54,,10.75,0.83
2010-12-01,,,,33.97,23.96,,10.75,0.63
2011-01-01,,,,34.1,24.19,,10.943548387096774,0.83
2011-02-01,,,,34.23,23.96,,11.25,0.8
2011-03-01,3.17,4.62,1.96,34.86,23.92,17.65,11.717741935483872,0.79
2011-04-01,3.24,4.67,2.04,34.9,23.84,18.22,11.8,0.77
2011-05-01,3.37,4.82,2.15,35.11,23.77,18.14,12.0,0.47
2011-06-01,3.32,4.79,2.09,35.29,23.58,17.95,12.183333333333334,0.15
2011-07-01,3.42,4.9,2.18,35.37,23.49,17.94,12.338709677419354,0.16
2011-08-01,3.45,4.97,2.15,35.98,23.7,17.75,12.5,0.37
2011-09-01,3.46,5.03,2.14,36.27,24.2,18.21,12.0,0.53
2011-10-01,3.58,5.17,2.23,36.45,24.67,18.68,11.806451612903226,0.43
2011-11-01,3.58,5.22,2.2,36.5,24.62,18.1,11.5,0.52
2011-12-01,3.54,5.22,2.15,36.56,24.58,17.19,11.0,0.5
2012-01-01,3.66,5.36,2.22,36.79,24.54,18.22,10.790322580645162,0.56
2012-02-01,3.71,5.4,2.27,36.78,24.49,18.63,10.5,0.45
2012-03-01,3.67,5.36,2.24,36.87,24.54,18.41,9.919354838709678,0.21
